Submissiondate,Today,Start,End,Deviceid,Interview Type 1,Is Shadowing,Interview Type 2,Interview Type,Revisit Mfd,Revisit Mfd Gps Taken,Dwelling Type From Interviewer,Dwelling Type Knock,Inhome2,Adult Presence From Child1,Adult Presence1,Hoh Name,Dwelling Type From Adult,Dwelling Type Combined,Sfd Indicator,Mfd Indicator,Mfd Gps Taken,Lat,Long,Mfd1 Gps1 Altitude,Mfd1 Gps1 Accuracy,Mfd1 Gps2 Missing,Mfd1 Gps1 Accuracy Nonzero,Mfd1 Gps2 Accuracy Nonzero,Mfd1 Cond2A,Mfd1 Cond2B,Mfd Agg Gps,Small Mfd Address Enter,Small Mfd Address,High Rise Name Enter,High Rise Address Enter,High Rise Name,High Rise Address,On Top Floor,Prompt To Top Floor,Flatfloor,Flatnumber,Mfd Dwelling Type,Sup Revisit Id 1 Org,Sup Revisit Id 1,Sup Revisit Id 1 Firstentry,Sup Revisit Id 2 Org,Sup Revisit Id 2,Sup Revisit Id 2 Firstentry,Line List Priority,Isdwelling,Inhome Type,Inhome1,Adult Presence From Child2,Adult Presence2,Hoh Name No Adult,Inhome,Adult Presence,Correct Hh,Revisit Consent,After Consent,Other Consent,Intro Consent,Adult Is Hoh,Hoh Name Adult Is Hoh,Hoh Name Adult Not Hoh,Hoh Name,Evidence Of Child,Childpresent Ask,Priority1 Child Present,Childpresent,Adult Is Caregiver Non Revisit,Adult Is Caregiver Revisit,Adult Is Caregiver,Ismotherpresent,Motherpresent,Mother Name Not Present,Mother Name Present 1,Mother Name Present 2,Mothername,Consent 1,Health Card No Caregiver,Caregiver Usually Home,Consent 2,Consent,Move On,Child Num Non P1,Confirm More Than 10 Children,Confirm 0 Children,Childnum,Random Value,Percentage Photos,Pp2,Hh Selected,Count,Child Repeat Count,No Cards,Missvaccine,Sum Child Priority,Chalkmark,Full Address Single-Family Dwelling,Require Gps Collection,Not Mfd Gps1 Latitude,Not Mfd Gps1 Longitude,Not Mfd Gps1 Altitude,Not Mfd Gps1 Accuracy,Not Mfd Gps2 Missing,Not Mfd Gps1 Accuracy Nonzero,Not Mfd Gps2 Accuracy Nonzero,Not Mfd Cond2A,Not Mfd Cond2B,Not Mfd Best Gps,High Rise Name To Pull Forward,Mfd Address To Pull Forward,High Rise Address To Pull Forward,Best Gps For This Dwelling,Priority,Update For 1 Or 2,Update,single_end_0_home,single_end_0_not_home,single_end_1_2_home,single_end_1_2_not_home,single_end_3_home,single_end_3_not_home,single_end_999_home,single_end_999_not_home,mfd_end_0_home,mfd_end_0_not_home,mfd_end_1_2_home,mfd_end_1_2_not_home,mfd_end_3_home,mfd_end_3_not_home,mfd_end_999_home,mfd_end_999_not_home,non_dwelling_end,revisit_end_incorrect_hh,revisit_end_0_home,revisit_end_0_1_2_home,revisit_end_1_2_home_confirm,revisit_end_1_2_home_update,revisit_end_1_2_not_home_confirm,revisit_end_1_2_not_home_update,revisit_end_3_home_update,revisit_end_3_home_confirm,revisit_end_3_not_home_update,revisit_end_3_not_home_confirm,revisit_end_999_all_home,revisit_end_999_3_home_additional,single_end_0_home_shadow,single_end_0_not_home_shadow,single_end_1_2_home_shadow,single_end_1_2_not_home_shadow,single_end_3_home_shadow,single_end_3_not_home_shadow,single_end_999_home_shadow,single_end_999_not_home_shadow,mfd_end_0_home_shadow,mfd_end_0_not_home_shadow,mfd_end_1_2_home_shadow,mfd_end_1_2_not_home_shadow,mfd_end_3_home_shadow,mfd_end_3_not_home_shadow,mfd_end_999_home_shadow,mfd_end_999_not_home_shadow,non_dwelling_end_shadow,revisit_end_incorrect_hh_shadow,revisit_end_0_home_shadow,revisit_end_0_1_2_home_shadow,revisit_end_1_2_home_confirm_shadow,revisit_end_1_2_home_update_shadow,revisit_end_1_2_not_home_confirm_shadow,revisit_end_1_2_not_home_update_shadow,revisit_end_3_home_update_shadow,revisit_end_3_home_confirm_shadow,revisit_end_3_not_home_update_shadow,revisit_end_3_not_home_confirm_shadow,revisit_end_999_all_home_shadow,revisit_end_999_all_home_shadow_additional,instanceID,KEY,SubmitterID,SubmitterName,AttachmentsPresent,AttachmentsExpected,Status,ReviewState,DeviceID,Edits,FormVersion
2026-05-19T09:22:49.959Z,5/19/26,2026-05-19T12:08:52.783+03:00,2026-05-19T12:22:47.029+03:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.087623688,10,0.1,1,0,0,0,0,0,0,,1,,,1756.199951,22.298,0,1,1,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-12-26T13:44:24.867Z,11/6/25,2025-11-06T14:32:49.083+01:00,2025-12-26T14:44:21.710+01:00,,high_rise,0,,high_rise,,,,,,,,,,,0,1,yes,,,212.5000153,11.742,0,1,1,0,1,,,,Hhhh,Hhh,Hhhh,Hhh,yes,,3,2,dwelling,,,,,,,,yes,adult,yes,,yes,,yes,yes,,,,yes,yes,yes,,,,,yes,no,yes,yes,,yes,,yes,,,Hhh,Hhh,,,,yes,yes,yes,3,,,3,0.377733107,10,0.1,0,3,3,0,4,0,0,,0,,,,,,,,,,,Hhhh,,Hhh,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-12-26T13:40:43.867Z,11/4/25,2025-11-04T09:05:19.679+01:00,2025-12-26T14:40:39.392+01:00,,dwelling,0,,dwelling,,,sfd,,,,,,,sfd,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,adult,yes,,yes,,yes,yes,,,,yes,yes,yes,,,,,yes,no,yes,no,,no,yes,yes,,Joe Ahmed,,Joe Ahmed,,,,yes,yes,yes,1,,,1,0.387697386,10,0.1,0,1,1,0,0,0,0,Zoo roads,1,,,230.3000031,4.95,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:59.628Z,11/21/25,2025-11-21T14:26:42.096+01:00,2025-11-21T14:27:03.553+01:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.225980282,10,0.1,0,0,0,0,0,0,0,,1,,,185.3,4,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:59.142Z,11/21/25,2025-11-21T14:25:58.778+01:00,2025-11-21T14:26:15.271+01:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.440405223,10,0.1,0,0,0,0,0,0,0,,1,,,182.2,4.368,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:58.643Z,11/21/25,2025-11-21T14:25:02.646+01:00,2025-11-21T14:25:54.626+01:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.0696051,10,0.1,1,0,0,0,0,0,0,,1,,,182.2,4.903,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:57.962Z,11/21/25,2025-11-21T14:24:17.793+01:00,2025-11-21T14:24:32.910+01:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.124478003,10,0.1,0,0,0,0,0,0,0,,1,,,182.8,3.3,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:57.473Z,11/21/25,2025-11-21T14:23:50.560+01:00,2025-11-21T14:24:05.035+01:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.078594622,10,0.1,1,0,0,0,0,0,0,,1,,,182.7,3.266,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:56.982Z,11/21/25,2025-11-21T14:23:24.944+01:00,2025-11-21T14:23:43.239+01:00,,not_dwelling,0,,not_dwelling,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,0.271642463,10,0.1,0,0,0,0,0,0,0,,1,,,182.8,3.5,1,1,0,0,0,,,,,,0,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
2025-11-26T09:51:55.211Z,11/21/25,2025-11-21T14:22:30.469+01:00,2025-11-21T14:23:18.692+01:00,,dwelling,0,,dwelling,,,sfd,,,,,,,sfd,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,no,no,,,,no,,,,,,,,,,,no,,no,,,,,,,,,,,,,,,,no,,,,,0.679940608,10,0.1,0,0,0,0,0,0,3,Oluawo,1,,,181.9,4.42,1,1,0,0,0,,,,,,3,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,5PP Ona Ara Point 1,0,0,,,,0,20250912_Nigeria
